,Name,Club,Crossing,Finishing,HeadingAccuracy,Volleys,Dribbling,Curve,BallControl,Acceleration,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Positioning,Vision,Marking
11739,J. Jönsson,IF Elfsborg,45,34,61,38,45,46,55,48,57,68,76,30,77,58,41,48,65
11740,A. Rabillard,AS Béziers,53,68,68,63,63,52,66,65,74,57,74,55,57,58,59,48,28
11741,M. Dabo,Stade Malherbe Caen,58,39,60,52,59,53,58,60,82,62,77,67,58,59,53,52,58
11742,L. Del Pinto,Benevento,52,45,50,36,62,34,63,46,68,56,36,77,66,49,56,60,60
11743,José Mena,Sevilla FC,48,52,49,42,54,51,72,64,79,57,56,51,54,40,61,66,61
11744,G. Wylde,Plymouth Argyle,55,42,60,53,64,66,61,92,90,68,85,69,60,64,52,62,36
11745,Kim Won Sik,FC Seoul,34,22,59,41,43,51,47,70,59,52,75,79,77,45,51,51,59
11746,M. van Bergen,SC Heerenveen,54,53,34,55,69,54,67,92,77,59,59,65,37,52,53,51,28
11747,A. Martin,Exeter City,20,29,68,15,34,23,49,58,50,67,66,63,73,45,19,24,64
11748,R. McDonald,AFC Wimbledon,41,20,62,26,52,19,56,67,55,45,70,63,79,32,23,44,62
11749,D. Collins,Grimsby Town,52,31,66,28,41,46,53,30,65,38,89,30,74,37,32,46,59
11750,J. White,Southend United,60,21,64,42,51,35,54,55,69,56,61,68,75,41,33,56,62
11751,A. Ingegneri,Palermo,39,21,61,37,30,38,44,59,71,51,71,62,66,25,26,33,67
11752,R. Swete,TSV Hartberg,15,14,18,11,15,11,20,49,54,24,50,41,64,20,11,14,25
11753,Imanol García,Gimnàstic de Tarragona,46,55,52,58,63,47,65,68,71,59,71,67,62,51,64,63,45
11754,S. Callegari,Newell's Old Boys,41,29,60,37,34,35,59,55,51,46,69,59,70,25,37,42,60
11755,E. Israelsson,Vålerenga Fotball,53,62,75,54,57,53,64,55,72,69,91,88,78,64,64,63,51
11756,M. Al Najrani,Al Fayha,66,55,59,51,64,63,66,65,56,55,69,65,67,55,63,63,58
11757,M. Bundu,Aarhus GF,56,61,52,50,66,59,65,78,74,67,64,66,71,64,59,52,33
11758,F. Román,Millonarios FC,63,22,59,25,48,29,57,74,58,26,55,78,73,25,50,39,66
11759,T. Figueroa,Pachuca,60,58,41,56,71,50,62,68,87,68,56,64,28,53,64,55,15
11760,T. Inukai,Kashima Antlers,27,16,62,20,29,23,45,59,66,36,75,68,76,22,23,32,63
11761,O. Kittner,SC Preußen Münster,47,27,62,26,43,41,53,55,57,65,63,54,78,36,30,41,62
11762,M. López,Envigado FC,60,55,39,44,64,62,66,66,72,55,58,60,60,65,64,61,55
11763,A. Winkler,SpVgg Unterhaching,38,19,67,29,26,26,42,57,56,33,69,53,83,25,23,27,63
11764,O. Özenç,Antalyaspor,13,15,11,17,13,12,22,42,45,18,67,22,73,17,16,24,20
11765,E. Nketiah,Arsenal,33,66,51,56,65,43,62,87,72,60,73,54,56,59,65,52,14
11766,S. Kamata,Shimizu S-Pulse,62,52,54,36,55,26,53,72,80,61,77,71,65,56,54,45,62
11767,G. Nilsson,Vejle Boldklub,36,64,70,63,62,48,64,51,42,69,50,67,77,57,60,49,30
11768,G. Shitolo,Orlando Pirates,32,57,66,29,55,29,59,58,64,50,71,80,61,42,59,36,60
11769,D. Kutesa,FC St. Gallen,46,53,37,41,68,44,68,86,79,60,86,65,65,58,46,69,41
11770,C. Rawlinson,Port Vale,38,27,62,35,44,40,41,55,60,41,81,65,84,23,34,34,60
11771,D. Slamar,FC Carl Zeiss Jena,29,18,63,23,26,27,45,46,56,42,75,54,77,22,24,35,66
11772,R. O'Donnell,Bradford City,23,19,11,12,14,11,33,54,51,15,62,32,73,11,12,48,10
11773,S. McNulty,Tranmere Rovers,29,19,64,20,28,21,51,29,38,40,43,34,83,21,19,41,73
11774,J. Tillson,Exeter City,45,40,56,38,58,41,62,62,64,52,78,79,70,44,44,62,60
11775,P. Arce,Club América,63,55,61,63,68,67,61,64,73,60,53,33,63,66,48,60,65
11776,D. Frattesi,Ascoli,52,40,58,49,64,49,67,61,67,69,65,62,53,58,64,57,58
11777,Genís,Levante UD,68,31,59,58,54,65,65,63,57,48,52,60,57,35,49,53,60
11778,M. Gustafsson,IF Brommapojkarna,57,51,22,53,60,62,64,66,67,58,60,77,64,53,55,68,59
11779,M. Pfitzner,Eintracht Braunschweig,58,57,49,49,52,59,61,53,65,71,68,75,72,62,60,52,59
11780,J. Duncan,Al Qadisiyah,13,12,13,20,16,13,14,52,39,19,62,37,72,15,15,39,12
11781,Thiago Xavier,Valenciennes FC,45,41,63,43,48,43,62,36,59,62,69,70,73,59,52,53,60
11782,T. Salquist,Waasland-Beveren,24,20,63,27,28,23,39,58,58,37,61,65,79,18,23,35,64
11783,M. Ortíz,Club Atlético Talleres,62,53,50,52,67,57,67,80,78,65,53,58,36,52,52,64,30
11784,João Mendes,CD Tondela,61,54,48,35,68,55,66,68,62,60,58,54,70,56,58,65,45
11785,D. Wotherspoon,St. Johnstone FC,65,48,63,43,69,64,69,79,62,66,67,75,70,63,49,62,55
11786,N. Ajose,Charlton Athletic,56,62,59,55,61,61,60,74,73,69,58,66,59,64,73,59,34
11787,B. Traoré,Le Havre AC,61,23,55,33,49,49,49,73,70,45,76,80,70,29,38,39,64
11788,M. Valjent,RCD Mallorca,39,25,60,40,59,54,63,69,78,49,74,84,66,47,52,53,56
11789,T. Vialla,AC Ajaccio,62,62,50,50,70,59,68,70,65,64,59,60,67,55,55,60,36
11790,O. Çelik,Antalyaspor,45,39,70,43,61,40,66,54,60,70,73,77,73,46,44,49,58
11791,N. Siega,Cittadella,61,58,60,56,71,59,69,81,74,60,51,60,66,57,58,60,59
11792,Han Yong Su,Gangwon FC,24,18,67,30,53,29,60,34,59,32,78,53,74,16,25,43,63
11793,F. Reynero,Curicó Unido,69,57,34,50,68,56,64,77,63,51,42,69,69,48,59,58,62
11794,K. Hazard,KSV Cercle Brugge,54,54,39,57,68,58,70,77,79,57,66,40,46,58,56,66,17
11795,A. Peralta,Patronato,56,55,46,30,67,45,69,72,69,51,70,72,68,50,60,45,55
11796,Y. Kawai,Shimizu S-Pulse,62,58,41,62,65,52,66,65,65,54,69,58,50,64,56,59,58
11797,D. van Crooij,VVV-Venlo,13,5,14,7,10,11,10,29,43,19,63,26,43,6,5,42,10
11798,C. Saldaña,CD Palestino,61,30,61,32,65,57,64,67,70,45,61,73,70,32,53,49,65
11799,Z. Udovičić,Zagłębie Sosnowiec,62,59,49,35,61,57,62,77,60,54,62,88,63,41,48,60,58
11800,M. Musaka,Shimizu S-Pulse,64,57,48,48,59,49,63,63,73,63,56,67,67,67,56,68,57
11801,R. González,Club Necaxa,41,42,59,35,65,45,65,62,71,59,57,68,61,45,48,62,69
11802,A. Al Dohaim,Al Ittihad,44,43,58,39,39,39,59,66,57,38,79,55,76,44,50,48,62
11803,R. Takeuchi,Shimizu S-Pulse,55,52,58,43,62,51,63,67,72,62,80,75,70,68,58,68,62
11804,K. Ramírez,Club Atlético Tigre,58,53,42,42,68,42,67,80,67,62,68,67,48,43,58,56,27
11805,Borja Garcés,Atlético Madrid,37,65,64,59,60,46,61,68,70,72,61,55,51,62,64,49,28
11806,M. Crooks,Northampton Town,40,52,64,44,61,49,66,68,58,57,57,72,81,59,60,57,56
11807,E. Mastrolía,Club Atlético Talleres,12,19,14,15,21,14,16,48,62,25,57,43,56,13,14,13,10
11808,P. Golubović,KV Kortrijk,68,24,43,29,58,62,55,66,69,24,64,69,78,23,53,40,61
11809,D. Luxbacher,SKN St. Pölten,60,55,55,50,65,66,64,78,73,60,88,57,59,57,54,60,35
11810,M. Ali,Vitesse,35,48,38,42,59,59,68,65,63,61,53,77,59,54,53,63,64
11811,A. Danladi,Minnesota United FC,48,61,56,54,65,56,60,80,65,74,71,66,62,59,60,49,39
11812,F. Grahl,San Martín de San Juan,59,48,51,53,66,60,72,62,61,62,59,64,66,44,52,62,57
11813,N. Atkinson,Melbourne City FC,59,46,38,31,65,65,64,84,89,44,88,75,74,43,66,60,64
11814,A. Wiss,FC St. Gallen,46,56,66,51,57,44,61,67,71,63,75,63,67,63,59,64,58
11815,L. Ferroni,Newell's Old Boys,62,28,46,36,61,42,56,71,74,34,63,70,48,26,59,45,58
11816,J. Davidson,Perth Glory,67,51,60,44,64,64,64,72,66,51,57,73,63,45,57,55,57
11817,A. Cadavid,Itagüí Leones FC,13,10,14,17,11,16,22,49,66,34,57,35,53,13,15,13,21
11818,B. Ndoye,FC Sion,53,62,66,43,52,44,65,49,67,65,78,71,81,61,65,55,53
11819,O. Kocuk,Bursaspor,11,10,10,10,10,10,11,31,30,20,43,23,55,10,11,11,5
11820,B. Karamoko,FK Haugesund,35,22,65,33,35,29,44,54,30,47,66,57,92,24,29,29,62
11821,E. Hernández,Club Atlas,15,17,14,11,18,17,23,57,56,23,70,28,69,16,11,37,19
11822,T. Hilliard-Arce,LA Galaxy,24,22,65,26,32,21,41,66,58,30,79,59,75,18,28,27,62
11823,Y. Etienne,KSV Cercle Brugge,62,37,42,36,62,51,61,77,75,52,78,62,56,45,56,54,63
11824,F. Mayembo,Le Havre AC,41,31,63,29,38,26,43,53,32,41,54,52,90,34,26,33,63
11825,P. Clarke,Oldham Athletic,25,32,66,13,35,38,44,32,32,50,71,62,80,43,43,56,65
11826,A. Bittroff,KFC Uerdingen 05,62,30,58,38,64,49,62,71,59,61,62,74,73,47,46,41,62
11827,M. Königs,FC Hansa Rostock,34,60,70,59,55,52,63,53,41,75,64,66,90,57,64,41,28
11828,A. Corsi,Cosenza,62,57,60,48,62,54,62,66,71,62,70,67,66,54,56,60,62
11829,J. Calle,Independiente Medellín,64,55,61,49,63,48,64,74,75,66,82,67,58,60,63,64,52
11830,L. Ndao,Waasland-Beveren,63,64,60,62,63,43,62,91,75,62,89,52,66,55,61,57,51
11831,R. Takasugi,V-Varen Nagasaki,53,42,59,37,44,32,49,54,57,59,74,72,69,62,37,43,60
11832,M. Desler,Odense Boldklub,52,59,58,48,66,55,66,79,65,59,80,76,47,60,56,55,59
11833,B. Morris,Wycombe Wanderers,46,43,53,48,59,45,64,71,72,58,61,78,66,60,50,64,62
11834,B. Moe,FK Bodø/Glimt,29,34,62,34,43,34,55,67,59,63,71,70,74,48,35,35,62
11835,Kuki Zalazar,Real Valladolid CF,65,59,54,47,71,74,69,65,70,71,61,38,46,65,62,59,29
11836,Montero,Atlético Madrid,42,27,61,29,44,33,60,58,66,37,69,63,57,29,23,31,61
11837,F. Ruberto,FC Thun,14,18,19,14,21,12,21,44,56,22,50,21,55,13,18,11,5
11838,S. Domínguez,Club Deportes Temuco,58,42,49,45,57,58,67,69,66,56,58,83,77,59,41,58,64
11839,Jin YangYang,Hebei China Fortune FC,29,30,63,22,30,29,36,54,60,37,73,66,78,19,25,34,65
11840,Aitor Ruibal,CF Rayo Majadahonda,57,62,51,57,66,39,69,73,65,58,41,62,56,59,69,60,20
11841,J. Nilsen,FK Haugesund,66,55,57,63,63,58,63,68,71,70,66,74,69,63,53,59,59
11842,P. Breier,FC Hansa Rostock,60,66,61,58,63,67,64,63,67,66,65,76,70,53,67,57,30
11843,N. Castrillón,Deportes Tolima,57,27,58,27,45,26,62,68,62,29,64,78,67,29,44,38,65
11844,Álex Craninx,Molde FK,14,26,14,19,25,31,23,34,29,38,56,38,66,28,18,34,12
11845,Miguel,Real Valladolid CF,40,65,56,54,63,46,64,69,62,61,66,50,61,55,65,49,38
11846,H. Onaga,V-Varen Nagasaki,57,54,39,47,66,63,63,77,75,51,88,70,45,47,58,53,25
11847,A. Al Mazaidi,Al Fateh,17,18,13,17,16,17,16,39,45,17,26,39,33,12,12,59,19
11848,V. Davidsen,Vejle Boldklub,61,38,59,28,57,31,63,77,75,50,66,71,59,43,50,51,56
11849,Park Sun Ju,Gangwon FC,60,58,49,46,58,59,58,85,77,57,61,69,50,49,63,52,58
11850,A. Otero,Itagüí Leones FC,34,65,64,48,59,49,64,72,72,63,57,59,66,55,64,65,33
11851,B. Jacobsen,AC Horsens,49,55,65,49,62,41,66,60,63,62,58,78,77,48,56,58,66
11852,J. Varela,Godoy Cruz,34,38,58,27,29,32,51,54,40,49,75,65,72,24,27,31,64
11853,S. Lorenz,TSV 1860 München,45,26,63,32,43,36,59,66,55,49,70,61,73,25,45,42,59
11854,Pol,CF Reus Deportiu,35,13,11,12,17,34,29,46,39,40,55,42,68,10,16,22,14
11855,T. Vion,Chamois Niortais Football Club,66,58,66,53,61,47,65,64,64,69,71,73,70,65,62,59,63
11856,S. Henriksen,Vendsyssel FF,44,22,59,39,50,36,59,63,43,59,75,78,74,25,36,37,65
11857,Y. Koné,LOSC Lille,59,30,53,28,65,47,61,71,74,36,56,67,64,34,50,39,63
11858,N. Oduwa,Vejle Boldklub,49,58,58,52,73,49,68,79,78,60,50,61,56,48,61,52,36
11859,S. Karadeniz,Trabzonspor,65,48,55,66,67,65,66,67,66,73,64,65,61,64,59,55,61
11860,M. Marcjanik,Empoli,21,40,61,34,52,25,50,51,51,61,76,69,75,21,32,33,62
11861,M. Palionis, SSV Jahn Regensburg,40,26,72,34,38,30,43,30,40,44,36,34,92,38,28,50,66
11862,D. Undav,SV Meppen,40,65,57,62,59,60,64,63,79,69,65,59,78,59,63,49,25
11863,N. Gouriye,Vendsyssel FF,65,60,50,69,62,59,62,76,69,62,71,62,65,65,60,58,50
11864,Tong Le,CD Aves,60,53,44,49,61,57,65,74,78,56,60,68,48,58,58,57,52
11865,Cho Dong Gun,Sagan Tosu,50,56,65,60,58,47,58,75,70,63,74,70,70,53,68,63,22
11866,G. Sandomierski,Jagiellonia Białystok,23,12,16,12,21,14,28,45,58,21,71,42,72,13,13,46,18
11867,A. Al Fahad,Al Raed,31,54,64,36,43,38,46,65,64,53,82,71,80,52,39,43,58
11868,N. Losada,Deportivo Pasto,18,17,20,13,19,16,18,41,54,24,54,33,56,13,11,14,18
11869,J. Thomasen,Odense Boldklub,52,60,48,53,61,48,63,62,82,65,65,66,51,58,60,60,60
11870,D. Wayar,0,47,29,55,31,52,34,59,57,75,49,63,78,40,32,35,57,71
11871,M. Velásquez,CD Everton de Viña del Mar,25,24,70,21,29,22,46,52,63,37,74,75,75,35,29,33,61
11872,Ahn Yong Woo,Sagan Tosu,67,61,41,52,63,56,65,77,74,60,62,76,57,58,58,60,33
11873,E. Valencia,Independiente Medellín,56,50,48,39,66,38,58,80,72,50,58,75,58,49,63,58,51
11874,H. Cochrane,Heart of Midlothian,41,48,57,48,70,41,65,69,80,66,63,65,40,57,58,55,51
11875,R. Müller,KFC Uerdingen 05,50,42,59,43,52,38,53,62,61,63,68,70,80,40,35,49,66
11876,C. Alcock,Cheltenham Town,62,21,58,22,48,28,53,67,75,46,78,75,76,40,57,37,60
11877,Manu Hernando,Real Madrid,44,32,68,29,56,44,64,61,64,47,59,66,62,45,43,37,70
11878,C. Brown,Melbourne Victory,63,46,52,34,62,60,61,74,75,39,79,65,63,42,53,53,64
11879,I. Coulibaly,Grenoble Foot 38,52,29,49,32,63,40,66,67,64,56,67,81,72,50,48,57,64
11880,R. Cota,U.N.A.M.,63,53,44,49,70,53,65,78,53,67,36,36,59,44,64,64,55
11881,J. Bruijn,SC Heerenveen,59,39,38,43,66,70,67,63,85,48,73,60,50,52,35,68,47
11882,L. Stevenson,Hibernian,54,50,59,12,65,37,63,63,79,58,76,73,61,29,54,62,65
11883,Dani Molina,RC Celta,49,56,42,58,64,66,69,53,67,59,59,52,33,66,56,71,50
11884,H. Shimoda,Kawasaki Frontale,54,52,39,44,57,52,68,80,78,71,75,81,54,54,50,62,48
11885,F. Pierrot,Royal Excel Mouscron,52,65,66,56,58,31,61,61,33,71,63,59,93,51,59,51,26
11886,B. Stuver,New York City FC,13,17,17,19,16,13,18,49,50,15,55,32,75,15,13,17,15
11887,C. Grant,Plymouth Argyle,68,58,58,43,63,66,64,63,74,68,63,69,65,65,63,64,60
11888,B. Tuiloma,Portland Timbers,55,32,57,25,56,33,51,48,62,49,60,66,78,31,51,44,63
11889,Kim Seung Yong,Gangwon FC,70,65,53,34,63,71,63,67,61,68,57,56,56,63,62,67,32
11890,Bura,CD Aves,47,58,53,34,63,36,64,68,64,61,71,76,65,52,61,58,57
11891,V. Loroña,Puebla FC,64,34,63,41,65,46,62,78,64,40,59,70,56,35,56,45,60
11892,A. Danch,Arka Gdynia,54,50,62,31,54,31,58,62,58,56,83,56,71,33,54,40,45
11893,Leonardo,Portimonense SC,17,7,13,6,14,18,8,40,51,29,54,45,61,13,9,15,21
11894,D. Telgenkamp,FC Emmen,15,11,11,11,11,17,22,34,32,15,42,29,75,11,11,31,11
11895,J. Bolton,Shrewsbury,56,29,59,22,59,42,59,79,66,51,69,73,67,34,37,44,60
11896,R. Miller,CD Feirense,37,30,66,22,40,29,45,46,40,59,36,66,85,41,37,39,64
11897,R. Kongolo,SC Heerenveen,38,41,50,34,55,42,61,65,55,60,70,71,78,39,39,43,66
11898,O. Abildgaard,Aalborg BK,59,56,70,56,60,56,65,66,70,74,80,70,80,64,58,57,55
11899,P. Polczak,Zagłębie Sosnowiec,39,21,67,40,45,29,51,34,51,60,52,57,78,21,17,29,60
11900,Y. Kasim,Northampton Town,53,48,55,51,61,59,68,59,72,58,70,66,70,49,53,66,53
11901,C. Pym,Exeter City,11,13,15,17,19,15,24,44,65,23,60,28,44,16,11,14,15
11902,D. Eckert,RC Celta,35,68,67,59,59,45,58,58,61,62,64,53,77,60,64,41,35
11903,K. Scherpen,FC Emmen,11,9,10,8,12,12,17,37,42,19,42,37,69,8,8,31,14
11904,Hwang Soon Min,Daegu FC,52,58,56,46,63,47,57,57,79,59,77,74,58,56,67,67,57
11905,B. Magaña,U.N.A.M.,19,18,13,18,15,19,22,53,53,19,61,26,68,12,14,25,22
11906,F. Dimarco,Parma,65,29,58,33,62,60,61,67,71,33,57,68,58,29,54,57,62
11907,G. Klok,FC Emmen,55,31,55,39,59,36,60,69,76,38,65,68,74,33,51,48,62
11908,M. Duke,Shimizu S-Pulse,56,65,58,49,65,43,62,80,62,76,84,69,80,66,61,48,45
11909,Moi Delgado,Real Valladolid CF,64,24,51,31,53,58,58,69,58,59,74,78,65,30,51,52,58
11910,G. Deegan,Cambridge United,52,46,61,46,52,45,57,68,75,66,71,85,83,50,54,56,51
11911,J. Roberts,Ipswich Town,60,61,52,55,64,62,63,79,63,61,67,70,66,61,63,57,42
11912,A. Caceres,Melbourne City FC,63,56,55,61,61,64,61,72,73,65,68,70,62,65,62,64,52
11913,F. Portillo,CD Universidad de Concepción,54,31,65,37,58,38,67,35,55,42,72,85,74,31,54,62,56
11914,G. Thomas,Scunthorpe United,61,65,46,59,64,58,64,79,74,61,78,73,59,58,63,59,30
11915,R. Williams,Atlanta United,49,65,59,47,61,49,59,79,66,73,72,60,66,63,59,54,20
11916,J. Carbonero,Once Caldas,51,67,41,46,65,43,68,76,78,60,54,77,59,55,64,67,19
11917,J. O'Toole,Northampton Town,46,64,68,47,62,48,64,60,52,62,74,73,73,56,68,64,54
11918,B. Pintol,SC Fortuna Köln,59,56,61,56,62,62,67,69,62,69,72,84,77,62,65,59,35
11919,G. Ivanov,0,58,64,61,60,64,65,60,71,78,67,66,63,58,61,56,63,41
11920,T. Kortegaard,AC Horsens,64,53,55,61,58,66,64,63,72,65,57,65,60,59,60,60,65
11921,K. Kato,Sagan Tosu,49,48,50,41,51,46,59,79,77,46,54,54,41,49,42,49,62
11922,S. Kobayashi,Vegalta Sendai,69,43,49,41,58,60,63,69,73,58,73,80,64,43,56,68,46
11923,S. Mai,Hallescher FC,23,23,73,34,23,22,33,34,29,40,31,52,92,27,28,27,62
11924,L. Riveros,CD Universidad de Concepción,59,68,40,46,65,42,65,69,66,65,66,71,70,64,63,56,49
11925,J. Thiesson,Minnesota United FC,64,52,59,41,61,47,62,54,72,60,74,76,58,52,57,56,58
11926,B. Reeves,Charlton Athletic,59,65,44,41,66,56,64,74,85,58,83,78,60,66,51,54,49
11927,M. Boman,Randers FC,42,63,72,54,56,44,60,49,47,64,70,75,89,53,64,57,44
11928,J. Al Bishi,Al Taawoun,48,25,64,23,45,25,53,68,53,32,82,77,73,26,47,38,55
11929,João Nunes,Lechia Gdańsk,56,21,67,37,53,57,59,70,51,49,74,61,76,41,21,53,56
11930,J. Riquett,La Equidad,29,18,64,28,27,22,46,58,56,36,70,65,75,16,26,32,61
11931,L. McCormick,Swindon Town,11,11,14,11,18,14,25,33,50,24,69,28,63,19,11,52,18
11932,A. Razak,IK Sirius,58,53,50,42,63,65,65,72,70,41,56,63,69,45,61,67,57
11933,D. Crnigoj,FC Lugano,62,48,29,49,67,56,68,78,66,63,49,70,75,56,58,64,35
11934,A. Araujo,Club Atlético Talleres,50,58,42,48,69,52,65,67,78,57,58,61,30,56,62,64,30
11935,Raí,Real Zaragoza,36,65,50,64,72,56,64,74,68,67,55,62,58,61,61,59,38
11936,F. Downes,Ipswich Town,61,44,58,32,57,49,66,68,76,54,65,72,63,56,56,56,59
11937,Hildeberto Pereira,Vitória de Setúbal,54,57,57,65,68,64,64,82,77,75,74,72,70,49,65,53,43
11938,K. Behrens,SV Sandhausen,42,65,65,55,56,50,58,64,63,72,67,66,76,60,63,54,27
11939,J. Guillemenot,SK Rapid Wien,51,69,65,52,59,62,65,68,69,57,69,71,68,58,65,55,24
11940,N. Gunnarsson,Djurgårdens IF,55,46,62,44,44,37,61,66,62,63,53,73,81,42,54,51,67
11941,J. McBean,Colorado Rapids,38,61,64,59,59,61,62,52,63,77,74,55,79,50,63,45,38
11942,M. Stoll,Karlsruher SC,32,40,67,31,39,23,56,37,53,44,52,31,75,43,37,42,65
11943,M. Greve,Odense Boldklub,52,61,46,50,62,53,63,71,60,55,58,67,65,51,64,60,53
11944,D. Yearwood,Southend United,50,45,53,41,64,46,64,76,79,59,72,79,70,60,57,63,56
11945,C. Patterson-Sewell,Toronto FC,12,18,19,20,12,19,29,36,34,23,59,36,81,12,13,45,12
11946,N. Rnić,Wolfsberger AC,57,24,62,29,37,46,58,53,73,63,76,60,74,50,39,41,63
11947,Feng Renliang,Beijing Renhe FC,67,58,36,42,71,46,64,74,66,56,43,68,57,55,63,56,31
11948,O. Lancashire,Swindon Town,21,27,66,20,22,19,44,61,54,44,83,77,77,30,24,42,58
11949,M. Jeannin,Clermont Foot 63,15,9,16,10,10,10,22,49,57,23,59,27,77,8,18,11,10
11950,H. Artarslan,Trabzonspor,43,50,63,45,52,46,60,47,51,59,61,68,77,43,44,42,62
11951,M. Sahanek,FC Admira Wacker Mödling,63,57,43,43,61,48,66,75,69,62,69,53,57,47,57,59,58
11952,F. Herbers,Philadelphia Union,63,68,65,48,64,60,66,69,60,66,63,66,64,55,60,59,47
11953,Eddy Francis,Shanghai Greenland Shenhua FC,68,34,51,20,46,53,51,69,67,34,56,87,65,23,40,41,60
11954,L. Waterfall,Shrewsbury,29,37,65,36,37,36,41,51,39,41,70,69,77,33,36,28,65
11955,D. Bowles,Brisbane Roar,54,36,58,30,54,37,55,62,60,43,71,75,72,34,54,53,58
11956,G. Walusimbi,Kaizer Chiefs,58,43,53,44,63,49,55,75,56,38,78,71,80,38,66,47,69
11957,F. Soyalp,Bursaspor,59,54,50,60,68,64,68,64,68,66,62,65,61,59,61,66,42
11958,I. Chatzitheodoridis,Panathinaikos FC,63,27,40,25,57,52,55,74,73,56,61,68,57,44,60,52,66
11959,A. Al Qahtani,Al Fayha,57,55,26,54,69,41,67,78,52,67,34,59,61,61,55,54,35
11960,O. Rathbone,Rochdale,43,42,39,51,66,49,67,74,70,64,60,80,58,70,53,60,50
11961,J. Macías,Guadalajara,45,65,65,51,65,50,65,68,74,64,60,55,59,60,60,55,21
11962,Lee Kyung Ryul,Jeonnam Dragons,40,35,47,32,23,34,41,69,52,34,81,72,80,35,47,42,62
11963,J. Lopy,US Orléans Loiret Football,51,38,57,37,56,46,68,69,54,59,72,81,73,50,44,61,61
11964,S. Vecchia,IK Sirius,60,52,32,46,67,64,66,80,69,63,55,69,63,50,59,62,46
11965,D. Londoño,Envigado FC,61,35,62,24,55,28,62,66,54,28,59,70,74,49,46,56,61
11966,J. Forte,Exeter City,58,63,55,54,64,35,61,81,62,67,54,82,72,50,59,60,25
11967,V. Sanogo,Zagłębie Sosnowiec,52,65,56,55,57,38,62,75,67,63,65,74,84,49,66,56,40
11968,Léo Príncipe,Le Havre AC,67,46,60,49,64,69,63,69,74,50,70,79,52,46,53,41,62
11969,A. Legzdins,Burnley,17,13,19,18,15,17,17,35,45,20,62,31,67,12,15,49,11
11970,F. Cuvelier,Morecambe,60,53,53,57,63,62,64,72,74,67,64,60,66,58,60,67,55
11971,M. Lorenzen,ADO Den Haag,57,65,48,53,69,55,66,84,54,73,64,58,76,57,54,51,24
11972,R. Becker,Eintracht Braunschweig,57,37,53,29,60,37,60,76,69,53,53,69,69,45,51,37,60
11973,A. Al Suwat,Al Taawoun,50,60,52,35,68,57,65,65,73,68,42,67,63,58,65,60,29
11974,Song Bum Keun,Jeonbuk Hyundai Motors,12,17,18,16,15,11,19,24,24,18,31,22,40,16,17,54,23
11975,F. Zoko,Yeovil Town,58,63,61,58,62,63,61,70,76,59,69,75,78,59,65,62,30
11976,Gonçalo Cardoso,Boavista FC,25,24,62,28,44,30,48,52,46,41,71,59,79,28,29,28,62
11977,C. McCormack,Cork City,56,51,54,50,52,50,56,67,73,63,61,75,58,59,57,58,64
11978,N. Al Mousa,Al Ahli,56,49,45,30,54,55,64,50,61,53,75,84,71,54,57,63,62
11979,D. Furtado,Rio Ave FC,60,67,47,57,68,53,68,79,70,68,41,52,54,43,64,55,23
11980,A. MacDonald,Mansfield Town,58,58,55,56,63,59,64,74,91,66,84,86,80,58,62,60,58
11981,T. Eastman,Colchester United,44,23,65,15,54,24,53,35,54,45,63,78,81,42,22,46,66
11982,C. Pérez,Rionegro Águilas,33,41,70,41,42,37,51,57,64,59,76,43,72,43,39,42,66
11983,F. Ayaz,Dalkurd FF,57,60,34,51,70,63,66,77,78,54,57,56,61,58,62,60,36
11984,J. Candía,0,28,23,66,27,22,23,29,55,68,39,75,78,69,22,23,26,67
11985,J. Simpson,Philadelphia Union,52,60,62,65,65,54,63,75,70,68,57,56,70,60,59,50,25
11986,Agus,Esbjerg fB,32,28,67,25,37,24,47,32,45,65,73,58,85,56,35,45,58
11987,M. Howard,Blackpool,14,13,15,12,12,18,33,38,49,26,60,30,68,12,13,35,17
11988,F. Helstrup,Arka Gdynia,43,23,59,33,48,42,53,65,56,38,58,72,75,26,29,25,58
11989,A. Kellett,Notts County,64,50,46,51,69,59,64,84,82,48,53,72,54,48,62,60,50
11990,Felipe,AD Alcorcón,69,39,65,37,54,56,68,61,67,38,62,65,54,40,46,43,57
11991,M. Done,Rochdale,62,57,47,57,64,60,63,80,76,63,68,79,67,59,61,62,53
11992,T. Oude Kotte,Excelsior,40,40,62,36,50,66,63,51,56,72,65,61,74,60,34,56,69
11993,M. Opondo,Vendsyssel FF,30,58,41,51,64,52,67,70,81,61,63,91,68,55,60,59,57
11994,J. Fehr,SG Sonnenhof Großaspach,64,52,46,43,69,53,63,84,81,56,71,70,48,51,46,38,36
11995,Diogo Silva,CD Tondela,15,8,11,10,7,13,12,24,38,23,52,22,47,6,6,42,8
11996,T. Abe,Vegalta Sendai,61,67,61,57,65,53,66,57,86,63,80,69,65,63,64,59,35
11997,C. Logan,Mansfield Town,15,15,11,11,17,18,22,27,60,22,60,35,78,15,15,42,30
11998,M. Sepúlveda,CD O'Higgins,55,59,38,37,62,52,62,72,66,47,52,80,62,66,57,68,60
11999,M. Savković,Jagiellonia Białystok,61,61,44,58,66,60,65,68,74,61,71,61,43,54,66,59,26
